id,stallName,description,rating,specialty,image
1,Jugaadi Spot,Authentic street food with a modern twist,4.5,Vada Pav Specialist,https://placehold.co/600x400/FF6B6B/FFFFFF?text=Jugaadi+Spot
2,Dwarkadhish,Fresh baked puffs and snacks,4.3,Puff Paradise,https://placehold.co/600x400/4ECDC4/FFFFFF?text=Dwarkadhish
3,MS Food,Continental cuisine and combos,4.7,Combo Master,https://placehold.co/600x400/45B7D1/FFFFFF?text=MS+Food
4,Shambhu's coffee bar,Premium coffee and shakes,4.4,Coffee & Shakes,https://placehold.co/600x400/96CEB4/FFFFFF?text=Shambhu's+Coffee
5,Dragon chinese,Authentic Chinese flavors,4.2,Chinese Delights,https://placehold.co/600x400/FFEAA7/FFFFFF?text=Dragon+Chinese
6,Patralu,Traditional Gujarati snacks,4.6,Gujarati Specials,https://placehold.co/600x400/DDA0DD/FFFFFF?text=Patralu
7,ROTIS ROLLS & HEALTH,Healthy rolls and wraps,4.3,Frankie & Rolls,https://placehold.co/600x400/98D8C8/FFFFFF?text=ROTIS+ROLLS
8,SYSKARA,Korean fusion and shakes,4.1,Fusion Treats,https://placehold.co/600x400/F7DC6F/FFFFFF?text=SYSKARA
9,KRISHNA south center,Authentic South Indian,4.5,South Indian,https://placehold.co/600x400/BB8FCE/FFFFFF?text=KRISHNA+South
10,Mountain Food Hub,Street food favorites,4.0,Maharashtrian Snacks,https://placehold.co/600x400/85C1E9/FFFFFF?text=Mountain+Food